unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_105,2023-02-07,2023-01-13,0.7470122,0.75172794,0.6666666666666666
hotel_105,2023-02-08,2023-01-13,0.7782592,0.7913488,0.6226415094339622
hotel_105,2023-02-09,2023-01-13,0.8258556,0.8459134,0.6918238993710691
hotel_105,2023-02-10,2023-01-13,0.9336419,0.97288835,0.9433962264150944
hotel_105,2023-02-11,2023-02-10,0.9975541,0.85884684,0.9685534591194969
hotel_105,2023-02-12,2023-02-10,0.57464397,0.6679065,0.46540880503144655
hotel_105,2023-02-13,2023-02-10,0.6004261,0.6355464,0.44025157232704404
hotel_105,2023-02-14,2023-02-10,0.6894965,0.67328787,0.6163522012578616
hotel_105,2023-02-15,2023-02-10,0.6405944,0.69551617,0.6729559748427673
hotel_105,2023-02-16,2023-02-10,0.65863,0.75058615,0.6792452830188679
hotel_105,2023-02-17,2023-02-10,0.80208504,0.8518801,0.8616352201257862
hotel_105,2023-02-18,2023-02-10,0.88246405,0.8063532,0.9811320754716981
hotel_105,2023-02-19,2023-02-10,0.561685,0.6343059,0.9056603773584906
hotel_105,2023-02-20,2023-02-10,0.58552027,0.62033975,0.7547169811320755
hotel_105,2023-02-21,2023-02-10,0.64795315,0.6725918,0.8427672955974843
hotel_105,2023-02-22,2023-02-10,0.6671581,0.6999348,0.9685534591194969
hotel_105,2023-02-23,2023-02-10,0.6771837,0.7719841,0.8301886792452831
hotel_105,2023-02-24,2023-02-10,0.7796781,0.87270457,0.9245283018867925
hotel_105,2023-02-25,2023-02-10,0.87908983,0.80904686,0.9056603773584906
hotel_105,2023-02-26,2023-02-10,0.5622382,0.6509741,0.5974842767295597
hotel_105,2023-02-27,2023-02-10,0.5884078,0.6395024,0.6666666666666666
hotel_105,2023-02-28,2023-02-10,0.6987801,0.68747723,0.660377358490566
hotel_105,2023-03-01,2023-02-10,0.65175736,0.7163463,0.7672955974842768
hotel_105,2023-03-02,2023-02-10,0.73217595,0.7698706,0.8427672955974843
hotel_105,2023-03-03,2023-02-10,0.8530672,0.8861552,0.8679245283018868
hotel_105,2023-03-04,2023-02-10,0.9293534,0.83866006,0.7924528301886793
hotel_105,2023-03-05,2023-02-10,0.57464683,0.6646421,0.5283018867924528
hotel_105,2023-03-06,2023-02-10,0.6371865,0.6550976,0.6540880503144654
hotel_105,2023-03-07,2023-02-10,0.68707246,0.68942636,0.7295597484276729
hotel_105,2023-03-08,2023-02-10,0.678706,0.7347083,0.7358490566037735
hotel_105,2023-03-09,2023-02-10,0.7137662,0.77871406,0.6729559748427673
hotel_105,2023-03-10,2023-02-10,0.8500548,0.8873914,0.7924528301886793
hotel_105,2023-03-11,2023-03-10,0.88211685,0.8148125,0.9245283018867925
hotel_105,2023-03-12,2023-03-10,0.61735713,0.6250901,0.8930817610062893
hotel_105,2023-03-13,2023-03-10,0.6720084,0.6070566,0.9245283018867925
hotel_105,2023-03-14,2023-03-10,0.77223366,0.6689752,0.9559748427672956
hotel_105,2023-03-15,2023-03-10,0.7607985,0.7150571,0.9937106918238994
hotel_105,2023-03-16,2023-03-10,0.7573026,0.76238346,0.9811320754716981
hotel_105,2023-03-17,2023-03-10,0.887938,0.85389197,0.8301886792452831
hotel_105,2023-03-18,2023-03-10,0.93584996,0.82961696,0.7735849056603774
hotel_105,2023-03-19,2023-03-10,0.64071697,0.642363,0.6226415094339622
hotel_105,2023-03-20,2023-03-10,0.6560457,0.6188426,0.5786163522012578
hotel_105,2023-03-21,2023-03-10,0.7428224,0.6903841,0.660377358490566
hotel_105,2023-03-22,2023-03-10,0.7810996,0.715093,0.6918238993710691
hotel_105,2023-03-23,2023-03-10,0.80600506,0.7579163,0.7169811320754716
