unique_id,cutoff,metric,LGBMRegressor
hotel_70,2023-03-10,rmse,0.06730146082322987
hotel_77,2023-03-10,rmse,0.004506341015911226
hotel_84,2023-03-10,rmse,0.14220616371260447
hotel_91,2023-03-10,rmse,0.1945684352888573
hotel_98,2023-03-10,rmse,0.18119272090283847
hotel_0,2023-04-07,rmse,0.3060267866761363
hotel_105,2023-04-07,rmse,0.09207440209636418
hotel_112,2023-04-07,rmse,0.111036768148543
hotel_126,2023-04-07,rmse,0.040187177911416266
hotel_133,2023-04-07,rmse,0.11043144671904416
hotel_14,2023-04-07,rmse,0.07232104272083675
hotel_21,2023-04-07,rmse,0.05128806351620388
hotel_28,2023-04-07,rmse,0.003203352682897216
hotel_35,2023-04-07,rmse,0.13215274915903502
hotel_42,2023-04-07,rmse,0.2120246095042054
hotel_49,2023-04-07,rmse,0.11649102811283854
hotel_56,2023-04-07,rmse,0.059786703494804784
