unique_id,ds,cutoff,y,LGBMRegressor
hotel_133,2023-03-18,2023-03-10,0.9344262295081968,0.9054808331108921
hotel_133,2023-03-19,2023-03-10,0.8032786885245902,0.7095816311823812
hotel_133,2023-03-20,2023-03-10,0.7704918032786885,0.7629772331713919
hotel_133,2023-03-21,2023-03-10,0.819672131147541,0.7778142817219502
hotel_133,2023-03-22,2023-03-10,0.8852459016393442,0.7970714297558488
hotel_133,2023-03-23,2023-03-10,0.9508196721311475,0.8067844044958686
hotel_133,2023-03-24,2023-03-10,0.9672131147540983,0.8727571177430008
hotel_133,2023-03-25,2023-03-10,0.9836065573770492,0.8855593148570793
hotel_133,2023-03-26,2023-03-10,0.8032786885245902,0.643455512258536
hotel_133,2023-03-27,2023-03-10,0.819672131147541,0.7101804952664769
hotel_133,2023-03-28,2023-03-10,0.9672131147540983,0.7269378606706638
hotel_133,2023-03-29,2023-03-10,0.9508196721311475,0.7804125865984795
hotel_133,2023-03-30,2023-03-10,0.9836065573770492,0.7893475707433679
hotel_133,2023-03-31,2023-03-10,0.9672131147540983,0.8563637989009067
hotel_133,2023-04-01,2023-03-10,1.0,0.8840990383089264
hotel_133,2023-04-02,2023-03-10,0.9180327868852459,0.6415421264533813
hotel_133,2023-04-03,2023-03-10,1.0,0.7162420828184166
hotel_133,2023-04-04,2023-03-10,1.0,0.7699301852356343
hotel_133,2023-04-05,2023-03-10,1.0163934426229508,0.7961129999381313
hotel_133,2023-04-06,2023-03-10,0.9836065573770492,0.7900650095734363
hotel_133,2023-04-07,2023-03-10,1.0,0.8631004329932443
hotel_14,2023-03-11,2023-03-10,0.8584905660377359,0.8945450496198128
hotel_14,2023-03-12,2023-03-10,0.7169811320754716,0.5999858378600159
hotel_14,2023-03-13,2023-03-10,0.7547169811320755,0.701427896414789
hotel_14,2023-03-14,2023-03-10,0.7641509433962265,0.7192810555847005
hotel_14,2023-03-15,2023-03-10,0.8018867924528302,0.752918067393269
hotel_14,2023-03-16,2023-03-10,0.8113207547169812,0.7618898162314091
hotel_14,2023-03-17,2023-03-10,0.8867924528301887,0.8463144915274512
hotel_14,2023-03-18,2023-03-10,0.8867924528301887,0.8859141910177238
hotel_14,2023-03-19,2023-03-10,0.5377358490566038,0.6632183078331213
hotel_14,2023-03-20,2023-03-10,0.5,0.7504427793364595
hotel_14,2023-03-21,2023-03-10,0.7264150943396226,0.7829652471577359
hotel_14,2023-03-22,2023-03-10,0.6792452830188679,0.8001089437457356
hotel_14,2023-03-23,2023-03-10,0.6981132075471698,0.7989399542615174
hotel_14,2023-03-24,2023-03-10,0.8113207547169812,0.8546585530832609
hotel_14,2023-03-25,2023-03-10,0.8113207547169812,0.8820662308889958
hotel_14,2023-03-26,2023-03-10,0.49056603773584906,0.637891885868212
hotel_14,2023-03-27,2023-03-10,0.5283018867924528,0.7173364244865513
hotel_14,2023-03-28,2023-03-10,0.7830188679245284,0.7531107644419253
hotel_14,2023-03-29,2023-03-10,0.7547169811320755,0.788980972437902
hotel_14,2023-03-30,2023-03-10,0.5566037735849056,0.7914490295838985
hotel_14,2023-03-31,2023-03-10,0.7075471698113207,0.8634812981237635
hotel_14,2023-04-01,2023-03-10,0.8867924528301887,0.8901083756046761
hotel_14,2023-04-02,2023-03-10,0.6037735849056604,0.6350272262768727
hotel_14,2023-04-03,2023-03-10,0.6792452830188679,0.6844669168124996
hotel_14,2023-04-04,2023-03-10,0.7830188679245284,0.7225709991776453
hotel_14,2023-04-05,2023-03-10,0.8679245283018868,0.7698031411524281
